Date,Open,High,Low,Close,Adj Close,Volume
2000-05-25,1.100000,1.180000,1.060000,1.140000,0.438085,8574250
2000-05-26,1.100000,1.100000,1.000000,1.040000,0.399657,1815250
2000-05-29,1.020000,1.060000,1.000000,1.060000,0.407343,452250
2000-05-30,1.060000,1.060000,1.060000,1.060000,0.407343,0
2000-05-31,1.040000,1.060000,1.000000,1.040000,0.399657,945000
2000-06-01,1.040000,1.040000,1.000000,1.020000,0.391971,702000
2000-06-02,1.040000,1.060000,1.020000,1.060000,0.407343,240000
2000-06-05,1.080000,1.100000,1.040000,1.060000,0.407343,274500
2000-06-06,1.040000,1.220000,1.040000,1.180000,0.453457,1409750
2000-06-07,1.200000,1.420000,1.180000,1.280000,0.491885,5631750
2000-06-08,1.280000,1.320000,1.180000,1.220000,0.468828,1094750
2000-06-09,1.220000,1.220000,1.180000,1.220000,0.468828,293250
2000-06-12,1.220000,1.220000,1.180000,1.200000,0.461143,358250
2000-06-13,1.160000,1.200000,1.140000,1.140000,0.438085,947750
2000-06-14,1.160000,1.260000,1.140000,1.260000,0.484200,1391000
2000-06-15,1.300000,1.320000,1.180000,1.200000,0.461143,897500
2000-06-16,1.200000,1.220000,1.180000,1.220000,0.468828,137750
2000-06-19,1.160000,1.280000,1.160000,1.240000,0.476514,565500
2000-06-20,1.240000,1.280000,1.220000,1.240000,0.476514,327500
2000-06-21,1.220000,1.340000,1.220000,1.240000,0.476514,1410250
2000-06-22,1.260000,1.260000,1.200000,1.220000,0.468828,183500
2000-06-23,1.220000,1.300000,1.220000,1.280000,0.491885,294500
2000-06-26,1.280000,1.320000,1.260000,1.320000,0.507257,317250
2000-06-27,1.340000,1.380000,1.260000,1.260000,0.484200,1635250
2000-06-28,1.300000,1.480000,1.300000,1.480000,0.568743,2855000
2000-06-29,1.480000,1.500000,1.400000,1.420000,0.545685,1322000
2000-06-30,1.400000,1.560000,1.380000,1.480000,0.568743,2178750
2000-07-03,1.480000,1.620000,1.480000,1.540000,0.591800,2818750
2000-07-04,1.580000,1.640000,1.540000,1.580000,0.607171,1510500
2000-07-05,1.580000,1.600000,1.540000,1.540000,0.591800,986000
2000-07-06,1.560000,1.560000,1.520000,1.560000,0.599485,710250
2000-07-07,1.560000,1.580000,1.540000,1.560000,0.599485,512250
2000-07-10,1.580000,1.720000,1.560000,1.660000,0.637914,2400750
2000-07-11,1.640000,1.680000,1.600000,1.660000,0.637914,458750
2000-07-12,1.660000,1.720000,1.640000,1.720000,0.660971,949250
2000-07-13,1.760000,2.340000,1.720000,2.240000,0.860799,11508250
2000-07-14,2.260000,2.420000,2.200000,2.360000,0.906914,5207250
2000-07-17,2.360000,2.480000,2.360000,2.420000,0.929971,1829750
2000-07-18,2.420000,2.620000,2.420000,2.540000,0.976085,4033500
2000-07-19,2.420000,2.620000,2.420000,2.540000,0.976085,4033500
2000-07-20,2.700000,2.780000,2.640000,2.720000,1.045256,3940500
2000-07-21,2.760000,2.760000,2.540000,2.640000,1.014513,1604750
2000-07-24,2.620000,2.640000,2.220000,2.300000,0.883856,1970000
2000-07-25,2.260000,2.500000,2.200000,2.500000,0.960714,2462250
2000-07-26,2.500000,2.560000,2.280000,2.320000,0.891542,1675250
2000-07-27,2.220000,2.360000,2.220000,2.220000,0.853114,464500
2000-07-28,2.220000,2.380000,2.220000,2.320000,0.891542,727000
2000-07-31,2.300000,2.480000,2.280000,2.480000,0.953028,1682250
2000-08-01,2.500000,2.540000,2.320000,2.380000,0.914599,1769750
2000-08-02,2.440000,2.500000,2.320000,2.500000,0.960714,1020000
2000-08-03,2.520000,2.640000,2.440000,2.520000,0.968400,2882750
2000-08-04,2.520000,2.520000,2.380000,2.440000,0.937657,615500
2000-08-07,2.460000,2.760000,2.400000,2.720000,1.045256,3472250
2000-08-08,2.740000,2.940000,2.740000,2.860000,1.099056,4245750
